SKU,UPC Code,Product Description,Brand Code,Brand Name,2024.08_Status,Aug-24
APB68267,8809874682679,"Glutathione Niacinamide Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,152
APB68268,8809874682686,"Glutathione Niacinamide, Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Seller,185
APB68269,8809874682693,"Glutathione Niacinamide, Beauty Sheet Mask, 1 Sheet, 0.85 fl oz (25 ml)",APB,APLB,New Seller,316
APB68270,8809874682709,"Glutathione Niacinamide Facial Toner, 5.41 fl oz (160 ml)",APB,APLB,New Seller,156
APB68271,8809874682716,"Glutathione Niacinamide, Mist Essence, 3.55 fl oz (105 ml)",APB,APLB,New Seller,73
APB68272,8809874682723,"Glutathione Niacinamide, Facial Cleanser, 2.71 fl oz (80 ml)",APB,APLB,New Seller,92
APB68273,8809874682730,"Glutathione Niacinamide Body Wash , 10.14 fl oz (300 ml)",APB,APLB,New Seller,194
APB68274,8809874682747,"Glutathione Niacinamide Body Lotion , 10.14 fl oz (300 ml)",APB,APLB,New Seller,247
APB68275,8809874682754,"Glutathione Niacinamide, Eye Cream, 0.68 fl oz (20 ml)",APB,APLB,New Seller,73
APB68276,8809874682761,"Glutathione Niacinamide Sunscreen, SPF 50+ PA ++++, 1.35 fl oz (40 ml)",APB,APLB,New Seller,110
APL21688,8804014216882,"Hyaluron Shot, Ampoule, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,14
APL21691,8804014216912,"Hyaluron Shot, Toner, 7.43 fl oz (220 ml)",APL,AMPLE:N,NoPO,5
APL21693,8804014216936,"Hyaluron Shot, Emulsion, 4.39 fl oz (130 ml)",APL,AMPLE:N,NoPO,3
APL21694,8804014216943,"Hyaluron Shot, Cream, 2.02 fl oz (60 ml)",APL,AMPLE:N,NoPO,9
APL21699,8804014216998,"Peptide Shot, Ampoule, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,0
APL22040,8804014220407,"Peeling Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,17
APL22043,8804014220438,"VC Shot, Ampoule, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,15
APL22249,8804014222494,"Purifying Shot, Toner, 20.28 fl oz (600 ml)",APL,AMPLE:N,NoPO,1
APL22401,8804014224016,"24K Gold Shot, Ampoule, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,27
APL22634,8804014226348,"Hyaluron Shot, Light Ampoule, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,29
APL22641,8804014226416,"Acne Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,5
APL23017,8804014230178,"Ceramide Shot, Ampoule Mist, 2.7 fl oz (80 ml)",APL,AMPLE:N,NoPO,12
APL23227,8804014232271,"Centel Calming Shot, Ampoule, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,7
APL23239,8804014232394,"Peptide Shot, Ampoule 2X, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,16
APL23536,8804014235364,"Hyaluron Shot, Eye Cream, 0.84 fl oz (25 ml)",APL,AMPLE:N,NoPO,15
APL23865,8804014238655,"Purifying Shot, Cream Cleaner, 5.07 fl oz (150 ml)",APL,AMPLE:N,NoPO,53
APL23866,8804014238662,"Purifying Shot, Pumpkin Enzyme Peeling Gel, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,40
APL23941,8804014239416,"Centel Calming Shot, Toner Pad, 60 Pads, 6.08 fl oz (180 ml)",APL,AMPLE:N,NoPO,19
APL24095,8804014240955,"Centel Calming Shot, First Gel Cleanser, 5.07 fl oz (150 ml)",APL,AMPLE:N,NoPO,33
APL24293,8804014242935,"Blemi Shot, Ampoule, 1.69 fl oz (50 ml)",APL,AMPLE:N,NoPO,17
APL24448,8804014244489,"Centel Calming Shot, Cica Toner, 6.76 fl oz (200 ml)",APL,AMPLE:N,NoPO,8
APL24520,8804014245202,"Ceramide Shot, Double Core Multi Balm, 0.35 oz (10 g)",APL,AMPLE:N,NoPO,9
DMX48005,8809886480058,,DMX,Dr.Melaxin,New Pending,0
DMX48086,8809886480867,,DMX,Dr.Melaxin,New Pending,0
DMX48109,8809886481093,,DMX,Dr.Melaxin,New Pending,0
DMX48115,8809886481154,,DMX,Dr.Melaxin,New Pending,0
DMX48134,8809886481345,,DMX,Dr.Melaxin,New Pending,0
DMX48135,8809886481352,,DMX,Dr.Melaxin,New Pending,0
DMX48144,8809886481444,,DMX,Dr.Melaxin,New Pending,0
DMX48145,8809886481451,,DMX,Dr.Melaxin,New Pending,0
DMX48147,8809886481475,,DMX,Dr.Melaxin,New Pending,0
DMX48148,8809886481482,,DMX,Dr.Melaxin,New Pending,0
DMX48157,8809886481574,,DMX,Dr.Melaxin,New Pending,0
DMX48164,8809886481642,,DMX,Dr.Melaxin,New Pending,0
DMX48165,8809886481659,,DMX,Dr.Melaxin,New Pending,0
DMX48167,8809886481673,,DMX,Dr.Melaxin,New Pending,0
DMX48170,8809886481703,,DMX,Dr.Melaxin,New Pending,0
DMX48171,8809886481710,,DMX,Dr.Melaxin,New Pending,0
DMX48184,8809886481840,,DMX,Dr.Melaxin,New Pending,0
DMX48186,8809886481864,,DMX,Dr.Melaxin,New Pending,0
DMX48193,8809886481932,,DMX,Dr.Melaxin,New Pending,0
DMX48198,8809886481987,,DMX,Dr.Melaxin,New Pending,0
DMX48199,8809886481994,,DMX,Dr.Melaxin,New Pending,0
HBF94201,8809617942015,"Caramel Salted Almond & Pretzel , 4.23 oz (120 g)",HBF,HBAF,New Seller,30
HBF94449,8809617944491,"Honey Butter Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,43
HBF94450,8809617944507,"Wasabi Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,69
HBF94451,8809617944514,"Baked Corn Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,68
HBF94477,8809617944774,"Hot & Spicy Chicken Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,69
HBF94478,8809617944781,"Tteokbokki Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,80
HBF94493,8809617944934,"Cheongyang Mayo Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,40
HBF94494,8809617944941,"Garlic Bread Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,80
HBF94533,8809617945337,"Laver Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,58
HBF94578,8809617945788,"Roasted Onion Almond, 4.23 oz (120 g)",HBF,HBAF,New Seller,52
LFT67861,8805915678618,"Probiotic, Bebe, 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT67871,8805915678717,"Probiotic, Kids , 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT67921,8805915679219,"Probiotic, Gold , 50 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT68101,8805915681014,"Probiotic, Core, 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT68181,8805915681816,"Beauty, 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT68201,8805915682011,"Slim, 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT68241,8805915682417,"Probiotics, Vegetable , 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT69271,8805915692713,"Blood Sugar Care , 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
LFT69431,8805915694311,"Liver Support, 60 Sticks, (2 g) Each",LFT,Lactofit,New Pending,0
MUZ58002,8809836580029,"Objet Liquid,  002 Sequence, 1 Count",MUZ,Muzigae Mansion,On Sale,3
MUZ58005,8809836580050,"Objet Liquid, 005 Stunning, 1 Count",MUZ,Muzigae Mansion,On Sale,4
MUZ58006,8809836580067,"Objet Liquid, 006 Notable, 1 Count",MUZ,Muzigae Mansion,On Sale,0
MUZ58009,8809836580098,"Objet Liquid, 009 Perception, 1 Count",MUZ,Muzigae Mansion,On Sale,2
MUZ58021,8809836580210,"Icy Glow, 01 Vague , 1 Count",MUZ,Muzigae Mansion,On Sale,3
MUZ58024,8809836580241,"Icy Glow, 04 Wonder, 1 Count",MUZ,Muzigae Mansion,On Sale,9
MUZ58025,8809836580258,"Icy Glow, 05 Tempting, 1 Count",MUZ,Muzigae Mansion,On Sale,9
MUZ58026,8809836580265,"Icy Glow, 06 Cheshire, 1 Count",MUZ,Muzigae Mansion,On Sale,6
MUZ58027,8809836580272,"Icy Glow, 07 Purity, 1 Count",MUZ,Muzigae Mansion,On Sale,2
MUZ58028,8809836580289,"Icy Glow, 08 Deserve , 1 Count",MUZ,Muzigae Mansion,On Sale,2
MUZ58032,8809836580326,"Objet Liquid, 012 Symbol, 1 Count",MUZ,Muzigae Mansion,On Sale,10
MUZ58033,8809836580333,"Objet Liquid, 013 Appeal, 1 Count",MUZ,Muzigae Mansion,On Sale,23
MUZ58036,8809836580364,"Objet Liquid, 016 After, 1 Count",MUZ,Muzigae Mansion,On Sale,10
MUZ58037,8809836580371,"Objet Liquid, 017 Softie, 1 Count",MUZ,Muzigae Mansion,On Sale,9
MUZ58038,8809836580388,"Objet Liquid, 018 Knockout, 1 Count",MUZ,Muzigae Mansion,On Sale,4
MUZ58040,8809836580401,"Objet Liquid, 020 Pleasure, 1 Count",MUZ,Muzigae Mansion,On Sale,1
MUZ58041,8809836580418,"Objet Water, 001 Signature, 6 ml",MUZ,Muzigae Mansion,On Sale,39
MUZ58043,8809836580432,"Objet Water, 003 Posh, 6 ml",MUZ,Muzigae Mansion,On Sale,43
MUZ58044,8809836580449,"Objet Water, 004 Celeb , 6 ml",MUZ,Muzigae Mansion,On Sale,5
MUZ58045,8809836580456,"Objet Water, 005 Diva, 6 ml",MUZ,Muzigae Mansion,On Sale,12
MUZ58047,8809836580470,"Objet Water, 007 Rare, 6 ml",MUZ,Muzigae Mansion,On Sale,16
MUZ58051,8809836580517,"Fitting Blush, 01 Odd, 1 Count",MUZ,Muzigae Mansion,On Sale,5
MUZ58052,8809836580524,"Fitting Blush, 02 Kinda, 1 Count",MUZ,Muzigae Mansion,On Sale,10
MUZ58053,8809836580531,"Fitting Blush, 03 Ecstasy, 1 Count",MUZ,Muzigae Mansion,On Sale,2
MUZ58055,8809836580555,"Fitting Blush, 05 Find, 1 Count",MUZ,Muzigae Mansion,On Sale,0
MUZ58061,8809836580616,"Fitting Blush, Fabulous, 1 Count",MUZ,Muzigae Mansion,On Sale,3
MUZ58072,8809836580722,"Moodwear Blur Lipstick, 002 Maxi, 1 Count",MUZ,Muzigae Mansion,On Sale,2
MUZ58076,8809836580760,"Moodwear Blur Lipstick, 006 Ruffle, 1 Count",MUZ,Muzigae Mansion,On Sale,1
MUZ58077,8809836580777,"Moodwear Blur Lipstick, 007 Hippy, 1 Count",MUZ,Muzigae Mansion,On Sale,1
MUZ58078,8809836580784,"Moodwear Blur Lipstick, 008 Revenge, 1 Count",MUZ,Muzigae Mansion,On Sale,8
MUZ58081,8809836580814,"Sleek Matt Cushion, SPF 50, PA4+, N19, 15 g",MUZ,Muzigae Mansion,On Sale,4
MUZ58082,8809836580821,"Sleek Matt Cushion, SPF 50, PA4+, N21, 15 g",MUZ,Muzigae Mansion,On Sale,4
MUZ58083,8809836580838,"Sleek Matt Cushion, SPF 50, PA4+, N23, 15 g",MUZ,Muzigae Mansion,On Sale,14
MUZ58084,8809836580845,"Sleek Matt Cushion, SPF 50, PA4+, N25, 15 g",MUZ,Muzigae Mansion,On Sale,3
NRP42355,8806173423552,"Bamboo Charcoal Mud Pack, 5.29 oz (150 g)",NRP,Nature Republic,On Sale,60
NRP43829,8806173438297,"Fresh Herb Cleansing Foam, Aloe, 5.74 fl oz (170 ml)",NRP,Nature Republic,On Sale,100
NRP43830,8806173438303,"Fresh Herb Cleansing Foam, Snail, 5.74 fl oz (170 ml)",NRP,Nature Republic,On Sale,111
NRP43831,8806173438310,"Fresh Herb Cleansing Foam, Peach, 5.74 fl oz (170 ml)",NRP,Nature Republic,On Sale,48
NRP43832,8806173438327,"Fresh Herb Cleansing Foam, Acerola, 5.74 fl oz (170 ml)",NRP,Nature Republic,On Sale,51
NRP44935,8806173449354,"Real Nature Beauty Mask Sheet, Royal Jelly, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,64
NRP44938,8806173449385,"Real Nature Beauty Mask Sheet, Tomato, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,53
NRP44946,8806173449460,"Real Nature Beauty Mask Sheet, Rose,  1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,71
NRP44948,8806173449484,"Real Nature Beauty Mask Sheet, Tea Tree, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,61
NRP45415,8806173454150,"California Aloe Fresh Powdery Sun Stick, SPF 50+, 0.71 oz (21 g)",NRP,Nature Republic,On Sale,65
NRP45606,8806173456062,"Real Nature Beauty Mask Sheet, Olive, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,97
NRP45607,8806173456079,"Real Nature Beauty Mask Sheet, Shea Butter, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,On Sale,86
NRP45742,8806173457427,"Jeju Sparkling Cleansing Tissue, 50 Sheets",NRP,Nature Republic,New Seller,38
NRP46214,8806173462148,"Good Skin, Tea Tree Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,7
NRP46216,8806173462162,"Good Skin, Niacinamide Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,83
NRP46220,8806173462209,"Good Skin, Collagen Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,36
NRP46222,8806173462223,"Good Skin, Vitamin E Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,37
NRP46861,8806173468614,"Argan Essential Deep Care Hair Pack, 200 ml",NRP,Nature Republic,On Sale,135
NRP46862,8806173468621,"Argan Essential Hair No Wash Treatment, 5.41 fl oz (160 ml)",NRP,Nature Republic,On Sale,52
NRP46863,8806173468638,"Argan Essential Deep Care Hair Essence, 2.7 fl oz (80 ml)",NRP,Nature Republic,On Sale,36
NRP46864,8806173468645,"Argan Essential Curling Essence, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,29
NRP46865,8806173468652,"Argan Essential Moist, Hair Mist, 7.43 fl oz (220 ml)",NRP,Nature Republic,On Sale,171
NRP46867,8806173468676,"Argan, Essential Deep Care Shampoo, For Extremely Damaged Hair, 10.14 fl oz (300 ml)",NRP,Nature Republic,On Sale,185
NRP46868,8806173468683,"Argan Essential Deep Care Conditioner, For Extremely Damaged Hair, 10.14 fl oz (300 ml)",NRP,Nature Republic,On Sale,88
NRP46887,8806173468874,"Super Aqua Max, Deep Moisture Sleeping Pack, 3.88 fl oz (115 ml)",NRP,Nature Republic,NoPO,8
NRP46988,8806173469888,"Snail Solution, Skin Booster, 4.39 fl oz (130 ml)",NRP,Nature Republic,NoPO,35
NRP46989,8806173469895,"Snail Solution, Emulsion, 4.05 fl oz (120 ml)",NRP,Nature Republic,NoPO,54
NRP47021,8806173470211,"Snail Solution, Cream, 1.75 fl oz (52 ml)",NRP,Nature Republic,NoPO,6
NRP47070,8806173470709,"Green Derma Tea Tree Cica, Relief Care Spot Patch, 60 Patches",NRP,Nature Republic,On Sale,30
NRP47192,8806173471928,"Calendula Forest Garden, Deep Cleansing Oil, 6.76 fl oz (200 ml)",NRP,Nature Republic,On Sale,34
NRP47193,8806173471935,"Forest Garden Chamomile, Deep Cleansing Oil, 6.76 fl oz (200 ml)",NRP,Nature Republic,On Sale,45
NRP47271,8806173472710,"Super Aqua Max,  Watery Toner, 5.07 fl oz (150 ml)",NRP,Nature Republic,NoPO,10
NRP47272,8806173472727,"Super Aqua Max, Watery Emulsion, 4.39 fl oz (130 ml)",NRP,Nature Republic,NoPO,5
