SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.01_Status,25-Jan
NRP48814,8806173488148 ,"Mild & Moisture, Aloe Vera Watery Gel, 10.56 fl oz (300 ml)",NRP,Nature Republic,On Sale,2893
APB68267,8809874682679 ,"Glutathione Niacinamide, Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,On Sale,442
MUZ58044,8809836580449 ,"Objet Water, 004 Celeb , 6 ml",MUZ,Muzigae Mansion,On Sale,9
NRP43831,8806173438310 ,"Fresh Herb Cleansing Foam, Peach, 5.74 fl oz (170 ml)",NRP,Nature Republic,On Sale,64
NRP48845,8806173488452 ,"Super Aqua Max Watery Essence, 1.69 fl oz (50 ml)",NRP,Nature Republic,New Seller,3
NRP48298,8806173482986 ,"Aloe Vera Cleansing Gel Cream, 5.07 fl oz (150 ml)",NRP,Nature Republic,On Sale,70
NRP48257,8806173482573 ,"Green Derma Tea Tree Cica, Soothing Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,19
PIT10257,8809563102570 ,"Oat-In Intense Cream, 5.07 fl oz (150 ml)",PIT,Purito,NoPO,36
DMX48145,8809886481451 ,"Oyster Pep-3 Renewal Cream , 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,New Seller,2
MUZ58005,8809836580050 ,"Objet Liquid, 005 Stunning, 1 Count",MUZ,Muzigae Mansion,On Sale,7
NRP48221,8806173482214 ,"Cica D1, Green Derma Mild Cica Serum, 1.69 fl oz (50 ml)",NRP,Nature Republic,On Sale,11
NRP46216,8806173462162 ,"Good Skin, Niacinamide Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,8
APB68272,8809874682723 ,"Glutathione Niacinamide, Facial Cleanser, 2.71 fl oz (80 ml)",APB,APLB,On Sale,168
DMX48186,8809886481864 ,"Bondex Clinic I, Protein Binding Remodeling Shampoo, All Hair Types, 13.52 fl oz (400 ml)",DMX,Dr.Melaxin,New Seller,19
LFT68201,8805915682011 ,"Probiotic, Slim, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,336
NRP48296,8806173482962 ,"Soothing & Moisture Aloe Vera, Cleansing Tissue, 80 Sheets",NRP,Nature Republic,On Sale,0
APL22634,8804014226348 ,"Hyaluron Shot, Light Ampoule, 3.38 fl oz (100 ml)",APL,AMPLE:N,NoPO,4
HBF94493,8809617944934 ,"Cheongyang Mayo Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,42
LFT68241,8805915682417 ,"Probiotics, Vegetable , 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,45
SRI99720,8809083997205 ,"More Than Lip Balm, 0.14 oz (4 g)",SRI,Sioris,On Sale,57
NRP48620,8806173486205 ,"Real Squeeze, Aloe Vera Hydrogel Eye Patch, 60 ea, 2.46 oz (70 g)",NRP,Nature Republic,On Sale,48
MUZ58037,8809836580371 ,"Objet Liquid, 017 Softie, 1 Count",MUZ,Muzigae Mansion,On Sale,18
SRI99757,8809083997571 ,"Back To My Memories Hand Cream, 1.69 fl oz (50 ml)",SRI,Sioris,On Sale,8
LFT68181,8805915681816 ,"Probiotic, Beauty, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,255
HBF94533,8809617945337 ,"Laver Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,46
NRP47552,8806173475520 ,"Skin Smoothing Body Peeling Mist, Peach, 10.14 fl oz (300 ml)",NRP,Nature Republic,On Sale,54
NRP47879,8806173478798 ,"Real Squeeze Aloe Vera, Emulsion, 4.39 fl oz (130 ml)",NRP,Nature Republic,On Sale,16
APB68274,8809874682747 ,"Glutathione Niacinamide, Body Lotion, 10.14 fl oz (300 ml)",APB,APLB,On Sale,618
DMX48148,8809886481482 ,"Oyster Pep-3 Renewal Oil Mist, 3.38 fl oz (100 ml)",DMX,Dr.Melaxin,New Seller,7
MUZ58027,8809836580272 ,"Icy Glow, 07 Purity, 1 Count",MUZ,Muzigae Mansion,On Sale,10
PIT10307,8809563103072 ,"Wonder Releaf Centella Daily Sun Lotion, SPF 50+ PA++++, 2.02 fl oz (60 ml)",PIT,Purito,NoPO,536
NRP47936,8806173479368 ,"Herbology, Broccoli Sprout Purifying Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,NoPO,5
SRI58874,8806158588740 ,"Light It Up Essener, 3.38 fl oz (100 ml)",SRI,Sioris,NoPO,10
NRP43829,8806173438297 ,"Fresh Herb Cleansing Foam, Aloe, 5.74 fl oz (170 ml)",NRP,Nature Republic,On Sale,65
NRP46220,8806173462209 ,"Good Skin, Collagen Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,59
SRI99708,8809083997083 ,"Cleanse Me Softly Milk Cleanser, 6.76 fl oz (200 ml)",SRI,Sioris,On Sale,25
NRP46864,8806173468645 ,"Argan Essential Curling Essence, 3.38 fl oz (100 ml)",NRP,Nature Republic,NoPO,8
APL23865,8804014238655 ,"Purifying Shot, Cream Cleaner, 5.07 fl oz (150 ml)",APL,AMPLE:N,NoPO,11
MUZ58024,8809836580241 ,"Icy Glow, 04 Wonder, 1 Count",MUZ,Muzigae Mansion,On Sale,9
NRP45742,8806173457427 ,"Jeju Sparkling Cleansing Tissue, 50 Sheets",NRP,Nature Republic,On Sale,7
PIT10098,0 ,"Inner Green, Reusable Cotton Rounds, 10 Pads + Mesh Bag",PIT,Purito,NoPO,4
PIT10273,8809563102730 ,"Clear Code Superfruit Serum, 1.01 fl oz (30 ml)",PIT,Purito,NoPO,29
APB68399,8809874683997 ,"Glutathione Niacinamide, Cleansing Balm, 2.71 fl oz (80 ml)",APB,APLB,New Seller,26
MUZ58002,8809836580029 ,"Objet Liquid,  002 Sequence, 1 Count",MUZ,Muzigae Mansion,On Sale,19
HBF94201,8809617942015 ,"Caramel Salted Almond & Pretzel , 4.23 oz (120 g)",HBF,HBAF,On Sale,115
MUZ58033,8809836580333 ,"Objet Liquid, 013 Appeal, 1 Count",MUZ,Muzigae Mansion,On Sale,14
NRP48695,8806173486953 ,"Kombucha Black Tea, The First Essence, 4.73 fl oz (140 ml)",NRP,Nature Republic,On Sale,9
NRP48703,8806173487035 ,"Black Bean, Invigorating Hair Shampoo, For All Types of Hair, 10.14 fl oz (300 ml)",NRP,Nature Republic,On Sale,38
APB68271,8809874682716 ,"Glutathione Niacinamide, Mist Essence, 3.55 fl oz (105 ml)",APB,APLB,On Sale,119
APL22641,8804014226416 ,"Acne Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,0
NRP42355,8806173423552 ,"Bamboo Charcoal Mud Pack, 5.29 oz (150 g)",NRP,Nature Republic,On Sale,22
DMX48164,8809886481642 ,"Necksphalt, ECM Neck Barrier Cream, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,New Seller,12
PIT10063,8809563100637 ,"Defence Barrier pH Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,NoPO,8
SRI99706,8809083997069 ,"Day By Day Cleaning Gel, 5.07 oz (150 ml)",SRI,Sioris,On Sale,19
NRP46865,8806173468652 ,"Argan Essential Moist, Hair Mist, 7.43 fl oz (220 ml)",NRP,Nature Republic,On Sale,128
NRP48704,8806173487042 ,"Black Bean, Invigorating Hair Treatment, 6.76 fl oz (200 ml)",NRP,Nature Republic,On Sale,19
APL22249,0 ,"Purifying Shot, Toner, 20.28 fl oz (600 ml)",APL,AMPLE:N,NoPO,0
NRP46989,8806173469895 ,"Snail Solution, Emulsion, 4.05 fl oz (120 ml)",NRP,Nature Republic,NoPO,8
HBF94477,8809617944774 ,"Hot & Spicy Chicken Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,104
NRP48619,8806173486199 ,"Real Squeeze Aloe Vera Eye Serum, 0.5 fl oz (15 ml)",NRP,Nature Republic,On Sale,38
APL22040,8804014220407 ,"Peeling Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,0
MUZ58009,8809836580098 ,"Objet Liquid, 009 Perception, 1 Count",MUZ,Muzigae Mansion,On Sale,5
SRI55330,8806158553304 ,"Fresh Moment Cleansing Oil, 6.76 fl oz (200 ml)",SRI,Sioris,On Sale,18
APB68269,8809874682693 ,"Glutathione Niacinamide, Beauty Sheet Mask, 1 Sheet, 0.85 fl oz (25 ml)",APB,APLB,NoPO,615
DMX48193,8809886481932 ,"Eyephalt, Eyecream for Eyebags, 0.33 fl oz (10 ml)",DMX,Dr.Melaxin,New Seller,26
MUZ58076,8809836580760 ,"Moodwear Blur Lipstick, 006 Ruffle, 1 Count",MUZ,Muzigae Mansion,On Sale,11
NRP47939,8806173479399 ,"Herbology, White Ginger Relaxing Body Cream, 2.36 fl oz (70 ml)",NRP,Nature Republic,NoPO,12
TSN01014,8809616010142 ,"TS Chakhan Hair Color Cream, No.5 Dark Brown, 1 Kit",TSN,TS Trillion,NoPO,32
