SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.04_Status,25-Apr
NRP47552,8806173475520 ,"Skin Smoothing Body Peeling Mist, Peach, 10.14 fl oz (300 ml)",NRP,Nature Republic,NoPO,2
APB68388,8809874683881 ,"Snail Mucin Ginseng Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
HBF94453,8809617944538 ,"Injeolmi Almond, 120 g",HBF,HBAF,New Pending,0
NRP43831,8806173438310 ,"Fresh Herb Cleansing Foam, Peach, 5.74 fl oz (170 ml)",NRP,Nature Republic,NoPO,94
NRP48845,8806173488452 ,"Super Aqua Max Watery Essence, 1.69 fl oz (50 ml)",NRP,Nature Republic,New Seller,5
APL22040,8804014220407 ,"Peeling Shot, Ampoule, 1.01 fl oz (30 ml)",APL,AMPLE:N,NoPO,2
NRP48257,8806173482573 ,"Green Derma Tea Tree Cica, Soothing Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,20
PIT10257,8809563102570 ,"Oat-In Intense Cream, 5.07 fl oz (150 ml)",PIT,Purito,NoPO,8
MUZ58037,8809836580371 ,"Objet Liquid, 017 Softie, 1 Count",MUZ,Muzigae Mansion,NoPO,25
SRI99757,8809083997571 ,"Back To My Memories Hand Cream, 1.69 fl oz (50 ml)",SRI,Sioris,On Sale,17
APB68471,8809874684710 ,"Caffeine Niacinamide Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
NRP47346,8806173473465 ,"Shea Butter, Moist Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,On Sale,48
MUZ58009,8809836580098 ,"Objet Liquid, 009 Perception, 1 Count",MUZ,Muzigae Mansion,NoPO,21
SRI55330,8806158553304 ,"Fresh Moment Cleansing Oil, 6.76 fl oz (200 ml)",SRI,Sioris,On Sale,18
APB68433,8809874684338 ,"Ferulic Acid Vitamin C Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
NRP46216,8806173462162 ,"Good Skin, Niacinamide Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,NoPO,0
SGE02041,8800253020419 ,"Deep Collagen Hyalu-B5 Hydrating Beauty Mask , 4 Pack, 1.30 oz (37 g) Each",SGE,Sungboon Editor,New Pending,0
MUZ58043,8809836580432 ,"Objet Water, 003 Posh, 6 ml",MUZ,Muzigae Mansion,NoPO,20
NRP47021,8806173470211 ,"Snail Solution, Cream, 1.75 fl oz (52 ml)",NRP,Nature Republic,NoPO,5
APB68276,8809874682761 ,"Glutathione Niacinamide, Sunscreen, SPF 50+ PA ++++, 1.35 fl oz (40 ml)",APB,APLB,On Sale,516
APB68526,8809874685267 ,"Spicule Vitamin C Shot 220 Serum, 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
DMX48167,8809886481673 ,"Cemenrete, Calcium Dark Spot Eye Cream, 0.52 oz (15 g)",DMX,Dr.Melaxin,On Sale,12
NRP48604,8806173486045 ,"Kombucha Black Tea, Treatment Ampoule 78%, 1 Count",NRP,Nature Republic,NoPO,16
LFT69271,8805915692713 ,"Probiotic, Blood Sugar Care, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,40
SRI99761,8809083997618 ,"Cleanse Me Softly Milk Cleanser, Citrus, 6.76 fl oz (200 ml)",SRI,Sioris,On Sale,27
APB68428,8809874684284 ,"Squalane Hyaluronic Acid Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
APB68429,8809874684291 ,"Kojic Acid Vitamin C Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
GBL32222,8809653322222 ,"Cabbage Calming Cream , 1.69 fl oz (50 ml)",GBL,Genabelle,New Seller,0
GBL54683,8809743546835 ,"Aquaberrier Ceramide Capsule Cream , 1.69 fl oz (50ml)",GBL,Genabelle,New Seller,1
DMX48144,8809886481444 ,"Oyster Pep-3 Renewal Ampoule, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,7
