SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.08_Status,25-Aug
APB68272,8809874682723 ,"Glutathione Niacinamide, Facial Cleanser, 2.71 fl oz (80 ml)",APB,APLB,On Sale,362
APB68386,8809874683867 ,"Bakuchiol Propolis Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,New Seller,122
DMX48161,8809886481611 ,"Aqua Ion Plasma, Water Glow Ampoule, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,On Sale,18
DMX48186,8809886481864 ,"Bondex Clinic I, Protein Binding Remodeling Shampoo, All Hair Types, 13.52 fl oz (400 ml)",DMX,Dr.Melaxin,On Sale,104
HBF94928,8809617949281 ,"Pepperoni Pizza Popcorn, 80 g",HBF,HBAF,New Seller,11
HKI63993,8809448639931 ,"Pore Cleansing Balm, BHA,  2.82 oz (80 g)",HKI,Hanskin,New Pending,0
PNA09260,8809704092609 ,"Squalane 15.13 Mineral Water Moisture Cream, 1.69 fl oz (50 ml)",PNA,Parnell,New Pending,0
APB68538,8809874685380 ,"Exosome Retinol EX Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,164
APB68546,8809874685465 ,"Exosome Retinol EX Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,53
APB68548,8809874685489 ,"Exosome Collagen EX Cream, 1.86 fl oz (55 ml)",APB,APLB,New Seller,150
OOT81375,8809349813751 ,"Variety Hydrating Serum Sheet Beauty Masks, 12 Sheets, 0.88 oz (25 g) Each",OOT,OOTD,New Seller,16
GBL54364,8809743543643 ,"Glutathione Brightening Ampoule Beauty Mask, 5 Sheets, 0.84 fl oz (25 ml) Each",GBL,Genabelle,On Sale,51
PNA09329,8809704093293 ,"Cicamanu Serum Cushion, 35N Caramel, 0.52 oz (15 g)",PNA,Parnell,New Seller,1
APB68414,8809874684147 ,"Amino Acid Peptide Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,57
DMX48184,8809886481840 ,"TX Retinalsome Double Effect Eye Cream, 1.41 oz (40 g)",DMX,Dr.Melaxin,On Sale,253
SGE56208,8809684562086 ,"Green Tomato Pore Lifting Ampoule+, 1.01 fl oz (30 ml)",SGE,Sungboon Editor,NoPO,24
APB68540,8809874685403 ,"Exosome Collagen EX Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,154
BBU62756,8809135627562 ,"Baby Wipes, Signature Blue Eco, 70 Sheets",BBU,Bebesup,New Pending,0
NRP47879,8806173478798 ,"Real Squeeze Aloe Vera, Emulsion, 4.39 fl oz (130 ml)",NRP,Nature Republic,NoPO,28
TWA20421,8809968204213 ,"Pure Glash Highlighter, ND02 Clear, 2.7 g",TWA,2aN,New Seller,23
OOT81336,8809349813362 ,"Dark Spot Vitamin C Toner Pad, 4.05 fl oz (120 ml)",OOT,OOTD,New Seller,31
GBL51074,8809893510748 ,"PDRN Enriched Recovery Balm, 1.69 fl oz (50 ml)",GBL,Genabelle,New Pending,0
HKI23444,8809653234440 ,"Collagen Peptide, Hydra Ampoule, 3.04 fl oz (90 ml)",HKI,Hanskin,New Pending,0
OOT81288,8809349812884 ,"Star Spot Patch, Hydrocolloid Blemish Care , 80 Patches",OOT,OOTD,New Seller,129
PNA09334,8809704093347 ,"Panthenol Heartleaf Cool Calming Beauty Mask, 10 Masks, 0.7 oz (20 g) Each",PNA,Parnell,New Pending,0
DMX48087,8809886480874 ,"Bio-Spicule, Pore Barrier Cream, 1.76 oz (50 g)",DMX,Dr.Melaxin,On Sale,27
DMX48259,8809886482595 ,"Eyephalt, Retinol Eyebag Cream, For All Skin Types, 0.35 oz (10 g)",DMX,Dr.Melaxin,New Seller,93
PNA09337,8809704093378 ,"Bakuchiol Retinol Wild Yam Firming Cream Coating Beauty Mask, 5 Sheets, 0.70 oz (20 g) Each",PNA,Parnell,New Pending,0
GWU09184,8809704091848 ,"Algae Therapy Mineral Shampoo, 17.63 oz (500 g)",GWU,GROWUS,New Seller,54
SRI99706,8809083997069 ,"Day By Day Cleaning Gel, 5.07 oz (150 ml)",SRI,Sioris,On Sale,30
DMX48236,8809886482366 ,"Peel Shot, Exfoliant Rice Ampoule, For All Skin Types, 2.7 fl oz (80 ml)",DMX,Dr.Melaxin,On Sale,355
HKI75082,8800255750826 ,"Code-On D.D Cream Foundation, 21N Light Beige, 1.18 fl oz (35 ml)",HKI,Hanskin,New Pending,0
LFT68181,8805915681816 ,"Probiotic, Beauty, 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,278
OOT81331,8809349813317 ,"Green Plum Low pH Cleansing Gel, Fragrance Free, 6.67 fl oz (200 ml)",OOT,OOTD,New Seller,4
OOT81358,8809349813584 ,"Ceramide Glow Moisture Cream , 1.69 fl oz (50 ml)",OOT,OOTD,New Seller,40
HBF45025,8800279450252 ,"Salted Milk Popcorn, 80 g",HBF,HBAF,New Seller,128
APB68412,8809874684123 ,"Squalane Hyaluronic Acid Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,New Seller,75
APB68416,8809874684161 ,"Ascorbyl Glucoside Peptide Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,16
NRP48298,8806173482986 ,"Aloe Vera Cleansing Gel Cream, 5.07 fl oz (150 ml)",NRP,Nature Republic,NoPO,6
APB68388,8809874683881 ,"Snail Mucin Ginseng Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Seller,44
HBF94453,8809617944538 ,"Injeolmi Almond, 120 g",HBF,HBAF,New Seller,59
NRP48845,8806173488452 ,"Super Aqua Max Watery Essence, 1.69 fl oz (50 ml)",NRP,Nature Republic,NoPO,12
DMX48160,8809886481604 ,"Aqua Ion Plasma Hydrating Gel Cream, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,On Sale,38
OOT81206,8809349812068 ,"Collagen Supreme Beauty Mask, 10 Sheets, 0.88 oz (25 g) Each",OOT,OOTD,New Seller,21
TWA20423,8809968204237 ,"Pure Glash Highlighter, BL01 Wave,  2.7 g",TWA,2aN,New Seller,18
NRP48257,8806173482573 ,"Green Derma Tea Tree Cica, Soothing Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,NoPO,19
APB68398,8809874683980 ,"Glutathione Niacinamide, Cleansing Oil, 3.55 fl oz (105 ml)",APB,APLB,On Sale,152
BBU62750,8809135627500 ,"Baby Wipes, Light, 80 Sheets",BBU,Bebesup,New Pending,0
GBL39037,8809690390376 ,"Bluecalm Rescue Gel , 0.33 fl oz (10 ml)",GBL,Genabelle,On Sale,5
PNA09302,8809704093026 ,"Cicamanu Serum Cushion, 25N Ratan, 0.52 oz (15 g)",PNA,Parnell,New Seller,23
APB68471,8809874684710 ,"Caffeine Niacinamide Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,48
NRP47346,8806173473465 ,"Shea Butter, Moist Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,NoPO,28
OOT81320,8809349813201 ,"Clarifying Niacinamide Serum, Fragrance Free , 1.69 fl oz (50 ml)",OOT,OOTD,New Seller,3
PNA09263,8809704092630 ,"Bakuchiol Retinol Wild Yam 2.12 Firming Serum, 1.01 fl oz (30 ml)",PNA,Parnell,New Pending,0
BBU62669,8809135626695 ,"Soothing & Moisture Lotion, 10.14 fl oz (300 ml)",BBU,Bebesup,New Pending,0
